Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI
h_mix_rho_x,Binary Enthalpy Of Mixing,R,0.791900090725891,0.050509978182319906,0.6787083602872714,0.8753818208364992
h_mix_rho_x,Binary Enthalpy Of Mixing,R^2,0.6271057536916743,0.07863049532732073,0.46064503832383663,0.7662933322510248
h_mix_rho_x,Binary Enthalpy Of Mixing,p,9.626715301357042e-51,1.448941491836075e-22,7.141295977469362e-74,2.1779823236169097e-32
h_mix_rho_x,Binary Enthalpy Of Mixing,RMSE,0.36497303229852807,0.049157705253582734,0.2797241010471356,0.4717121817222367
h_mix_rho_x,Binary Enthalpy Of Mixing,MSE,0.0561953964490404,0.024058927274339097,0.010876458240534464,0.10750831469538084
h_mix_rho_x,Binary Enthalpy Of Mixing,MUE,0.25172647650788643,0.01816269698084079,0.22203974274673816,0.29370265343973445
h_mix_rho_x,Binary Enthalpy Of Mixing,Tau,0.6776055910057733,0.02833956454758756,0.6099529396768671,0.7249736695390289
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,Slope,0.7174776584160251,0.08212100469976095,0.5592160909558642,0.8788105950680702
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,Intercept,0.21942069170941347,0.05971344836993321,0.10123320497089672,0.3391853326510975
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,R,0.7399975685138973,0.05364320022877715,0.6242557408573981,0.8320266263446511
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,R^2,0.5475964014064801,0.07818745544004091,0.389695229993419,0.6922683069464616
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,p,3.8167136459346397e-41,3.446445691264547e-18,3.85636512044005e-60,3.0866880194402427e-26
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,RMSE,0.40309193324459214,0.046960657407120736,0.3176270933372272,0.49945253744743145
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,MSE,0.06042267004414359,0.026062279121595533,0.007712347149051761,0.11177012222667507
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,MUE,0.2857437045390267,0.01921383043809425,0.2521495651279425,0.3275700447472931
