Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x_rho_pure,Pure Density,Slope,0.980862753275777,,0.6503359475941164,2.01667641756779,alkane
h_mix_rho_x_rho_pure,Pure Density,Intercept,0.006990890047823051,,-0.6805499022235224,0.25839099890558576,alkane
h_mix_rho_x_rho_pure,Pure Density,R,0.9665421820404955,0.16276623058456346,0.9066226175835594,0.9999942070899096,alkane
h_mix_rho_x_rho_pure,Pure Density,R^2,0.9342037896636023,0.07159170343740344,0.825626035699115,0.999988414213377,alkane
h_mix_rho_x_rho_pure,Pure Density,p,0.007309516012067665,0.05496140591514287,1.730120466812352e-08,0.03272075978362442,alkane
h_mix_rho_x_rho_pure,Pure Density,RMSE,0.014266555552995502,0.0017040972314647936,0.009961307823758874,0.016808283319896485,alkane
h_mix_rho_x_rho_pure,Pure Density,MSE,-0.0066456651289189764,0.00558095236839334,-0.015988368960531553,0.005799062812732658,alkane
h_mix_rho_x_rho_pure,Pure Density,MUE,0.013301844622082637,0.0022561260861907444,0.008137583565979356,0.016805796587237798,alkane
h_mix_rho_x_rho_pure,Pure Density,Tau,0.7999999999999999,,0.0,0.9486832980505138,alkane
h_mix_rho_x_rho_pure_h_vap,Pure Density,Slope,1.2320118165864862,,1.079422877412514,1.3449076332558776,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,Intercept,-0.20007246915296806,,-0.302772499752347,-0.06671362613895926,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,R,0.9990766067648938,0.0315905435232402,0.9978787109465992,0.9999974360348066,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,R^2,0.9981540661848544,0.031585746778175126,0.9957619217604464,0.9999948720761872,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,p,3.367857654646954e-05,0.03160607799774874,4.9509542930978845e-09,0.00011778564487592207,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,RMSE,0.022371744115533197,0.007429418699996626,0.0027210713798540604,0.033326492727082734,ester
h_mix_rho_x_rho_pure_h_vap,Pure Density,MSE,0.015589938742301745,0.007114813732320698,0.0024075213176315557,0.030252708105971825,ester
